system,retriever_design,retriever_questions,hit_rate_at_5,mrr,recall_at_5,generator_questions,groundedness,factual_accuracy,hallucination_rate,abstention_rate
Baseline RAG,TF-IDF unigram search; no metadata filtering; fixed 350-word chunks with 80-word overlap,22,0.3181818181818182,0.1833333333333333,0.2651515151515151,22.0,0.3181818181818182,0.3181818181818182,0.0,0.6818181818181818
Engineered RAG,TF-IDF unigram+bigram search; soft Year/Month metadata boost; file-level diversification,22,0.7727272727272727,0.6704545454545454,0.6060606060606061,22.0,0.7727272727272727,0.7727272727272727,0.0,0.2272727272727272
