system,data_format,retriever_strategy,total_questions,hit_rate_at_5,mrr,recall_at_5,groundedness,factual_accuracy,hallucination_rate,abstention_rate
TXT Baseline RAG,Transformed TXT,TF-IDF unigram,22.0,0.3181818181818182,0.1833333333333333,0.2651515151515151,0.3181818181818182,0.3181818181818182,0.0,0.6818181818181818
TXT Engineered RAG,Transformed TXT,"TF-IDF unigram + bigram, Year/Month boost, file diversification",22.0,0.7727272727272727,0.6704545454545454,0.6060606060606061,0.7727272727272727,0.7727272727272727,0.0,0.2272727272727272
JSON Baseline RAG,Parsed JSON,TF-IDF unigram over JSON-aware chunks,22.0,0.2272727272727272,0.1340909090909091,0.1363636363636363,0.2272727272727272,0.2272727272727272,0.0,0.7727272727272727
JSON Engineered RAG,Parsed JSON,"TF-IDF unigram + bigram, Year/Month boost, file diversification over JSON-aware chunks",22.0,0.8636363636363636,0.4954545454545455,0.6742424242424243,0.8636363636363636,0.8636363636363636,0.0,0.1363636363636363
