system,retriever_design,total_questions,hit_rate_at_5,mrr,recall_at_5
Baseline RAG,TF-IDF unigram search; no metadata filtering; fixed 350-word chunks with 80-word overlap,22,0.3181818181818182,0.1833333333333333,0.2651515151515151
Engineered RAG,TF-IDF unigram+bigram search; soft Year/Month metadata boost; file-level diversification,22,0.7727272727272727,0.6704545454545454,0.6060606060606061
